Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)

17:23:13,16.7,35.9,81.9,0.0,0.0
17:23:14,3.3,35.9,81.9,0.134765625,0.4267578125
17:23:15,10.3,35.9,81.9,4.7138671875,0.1171875
17:23:16,10.1,35.9,81.9,0.1396484375,0.4169921875
17:23:17,12.6,35.9,81.9,0.0,0.4267578125
17:23:18,15.7,36.0,81.9,0.0,0.3515625
17:23:19,11.5,35.9,81.9,0.0,0.29296875
17:23:20,11.2,35.9,81.9,4.7119140625,0.75390625
17:23:21,12.6,35.9,81.9,4.6181640625,0.29296875
17:23:22,12.0,35.9,81.9,0.0869140625,0.6201171875
17:23:23,11.4,35.9,81.9,4.7529296875,0.3515625
17:23:24,6.7,35.9,81.9,0.052734375,0.744140625
17:23:25,3.5,35.9,81.9,4.6181640625,0.29296875
17:23:27,3.6,35.9,81.9,0.052734375,0.4609375
17:23:28,3.6,35.9,81.9,4.6181640625,0.29296875
17:23:29,2.9,35.9,81.9,0.0869140625,0.4013671875
17:23:30,4.5,35.9,81.9,4.6171875,0.0
17:23:31,4.9,35.9,81.9,0.052734375,0.61328125
17:23:32,6.0,35.9,81.9,4.671875,0.4267578125
17:23:33,1.4,35.9,81.9,0.0,0.0
17:23:34,4.4,35.9,81.9,4.7529296875,0.46875
17:23:35,8.0,35.9,81.9,0.0869140625,0.6953125
17:23:36,6.0,36.0,81.9,4.6181640625,0.3515625
17:23:37,5.6,36.0,81.9,3.640625,0.68359375
17:23:38,0.2,36.0,81.9,4.6181640625,0.05859375
17:23:39,6.6,35.9,81.9,2.3525390625,8.9482421875
17:23:40,8.9,35.9,81.9,4.6181640625,0.5263671875
17:23:42,14.5,35.9,81.9,0.1708984375,0.6494140625
17:23:43,13.7,36.0,81.9,4.6181640625,0.369140625
17:23:44,33.7,36.5,81.9,0.0,0.4267578125
17:23:45,43.1,37.5,81.9,5.1201171875,1.3193359375
17:23:46,86.9,40.6,81.9,20.34375,61.6103515625
17:23:48,94.4,43.5,81.9,75.1552734375,109.095703125
17:23:50,100.0,46.6,81.9,0.0,0.0
17:23:52,99.0,47.8,82.3,127.458984375,1800.708984375
17:23:53,96.6,49.8,82.3,115.2919921875,576.0166015625
17:23:55,99.7,51.0,82.3,68.9052734375,1851.3564453125
17:23:56,97.7,52.1,82.5,166.1552734375,1384.3828125
17:23:58,94.2,53.1,82.5,156.4951171875,906.421875
17:23:59,95.2,53.7,82.5,146.5205078125,1539.8203125
17:24:01,83.3,54.1,82.5,6.1015625,10.935546875
17:24:02,79.1,54.5,82.5,166.724609375,228.3486328125
17:24:03,82.7,55.0,82.5,56.1572265625,222.2900390625
17:24:04,83.5,55.4,82.5,95.8056640625,1604.791015625
17:24:06,99.5,55.9,82.5,59.0361328125,250.5947265625
17:24:07,81.0,56.7,82.5,50.0439453125,1017.8486328125
17:24:08,78.5,56.8,82.7,95.1123046875,705.669921875
17:24:09,65.1,57.3,82.7,98.048828125,2391.501953125
17:24:11,90.9,57.8,82.7,58.2646484375,292.9033203125
17:24:12,80.7,57.7,82.7,6.5087890625,0.5009765625
17:24:13,79.0,58.0,82.7,32.1943359375,139.3916015625
17:24:14,60.8,58.2,82.7,64.765625,561.388671875
17:24:15,35.2,58.2,82.7,27.833984375,94.591796875
17:24:16,25.2,58.3,82.7,42.6171875,69.953125
17:24:17,13.8,58.1,82.7,11.322265625,2.3154296875
17:24:18,19.7,57.7,82.7,5.482421875,21.45703125
17:24:20,24.5,57.7,82.7,4.4814453125,4.7109375
17:24:21,10.8,57.6,82.7,4.7431640625,0.1337890625
17:24:22,8.2,57.6,82.7,0.369140625,0.666015625
17:24:23,8.6,57.6,82.7,7.314453125,4.6767578125
17:24:24,12.1,57.4,82.7,10.619140625,12.1279296875
17:24:25,15.6,57.3,82.7,12.7880859375,5.869140625
17:24:26,16.7,57.2,82.7,32.623046875,1097.607421875
17:24:27,10.7,57.2,82.7,15.6123046875,21.3525390625
17:24:28,8.6,57.2,82.7,5.736328125,1.0224609375
17:24:29,13.0,57.2,82.7,4.6708984375,0.5703125
17:24:30,14.1,57.2,82.7,0.25,0.828125
17:24:32,10.5,57.2,82.7,4.6181640625,0.29296875
17:24:33,11.3,57.2,82.7,13.658203125,548.236328125
17:24:34,6.0,57.2,82.7,4.6181640625,0.1171875
17:24:35,12.1,57.2,82.7,0.3857421875,0.427734375
17:24:36,13.0,57.1,82.7,5.2353515625,1.2236328125
17:24:37,9.2,57.0,82.7,0.072265625,0.580078125
17:24:38,15.1,57.0,82.7,6.8232421875,1.9365234375
17:24:39,4.2,57.0,82.7,0.396484375,0.5146484375
17:24:40,16.2,57.1,82.9,21.1337890625,627.9951171875
17:24:41,25.0,57.2,95.4,4.5439453125,121.048828125
17:24:42,33.7,57.3,95.4,313.1240234375,11202.4169921875
17:24:43,44.9,57.4,95.4,378.8857421875,13104.0009765625
17:24:45,25.0,57.4,95.4,144.3544921875,4911.2880859375
17:24:46,35.3,57.3,95.4,416.7314453125,13076.4521484375
17:24:47,27.3,57.2,95.4,350.0361328125,13010.2939453125
17:24:48,27.5,57.3,95.4,290.42578125,11736.875
17:24:49,28.3,57.2,95.4,329.4951171875,12993.41015625
17:24:50,29.0,57.3,95.4,162.7314453125,5249.310546875
17:24:51,32.9,57.4,95.4,387.8994140625,13087.4638671875
17:24:52,40.5,57.6,95.4,434.62890625,13098.8388671875
17:24:53,31.7,57.5,95.4,445.12890625,13377.8427734375
17:24:54,33.1,57.5,95.4,389.5185546875,13079.3994140625
17:24:55,27.9,57.6,95.4,220.427734375,5389.126953125
17:24:57,32.9,57.5,95.4,479.5087890625,13120.3671875
17:24:58,30.9,57.6,95.4,596.5205078125,13134.7373046875
17:24:59,35.2,57.5,95.4,646.4873046875,13113.89453125
17:25:00,29.2,57.5,95.4,709.9921875,13133.224609375
17:25:01,26.1,57.8,95.4,335.7216796875,4803.974609375
17:25:02,30.7,57.7,95.4,665.46484375,13069.28515625
17:25:03,31.2,57.6,95.4,665.4990234375,13132.3603515625
17:25:04,27.1,57.4,95.4,634.1630859375,13099.4658203125
17:25:05,30.7,57.7,95.4,414.609375,13177.9775390625
17:25:06,21.8,57.5,95.4,315.552734375,5219.1806640625
17:25:07,36.6,57.5,95.4,642.08984375,13054.935546875
17:25:09,34.4,57.4,95.4,612.39453125,13333.7236328125
17:25:10,38.5,57.2,95.4,698.3310546875,13133.439453125
17:25:11,37.6,57.1,95.4,589.5966796875,12781.3125
17:25:12,29.8,57.0,95.4,171.8740234375,4756.04296875
17:25:13,32.9,57.0,95.4,450.2373046875,13127.1494140625
17:25:14,36.0,57.0,95.4,473.6845703125,13309.0556640625
17:25:15,34.3,57.0,95.4,493.7021484375,13368.33984375
17:25:16,45.5,57.7,95.4,471.3193359375,13392.1396484375
22:12:31,12.4,68.4,92.6,0.1064453125,0.3232421875
22:12:32,5.5,68.3,92.6,8.9443359375,1.7333984375
