,Timestamp,CPU (%),RAM (%),Disco (%),Upload (KB/s),Download (KB/s)
count,109,109.0,109.0,109.0,109.0,109.0
mean,2025-08-07 17:24:15.229358080,32.43,50.48,86.27,149.69,3549.49
min,2025-08-07 17:23:13,0.2,35.9,81.9,0.0,0.0
25%,2025-08-07 17:23:42,10.8,36.0,81.9,4.62,0.51
50%,2025-08-07 17:24:17,25.2,57.1,82.7,15.61,69.95
75%,2025-08-07 17:24:47,36.6,57.4,95.4,290.43,5249.31
max,2025-08-07 17:25:16,100.0,58.3,95.4,709.99,13392.14
std,,29.39,9.57,6.05,214.98,5452.68
